title,top genre,year released,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year
STARSTRUKK (feat. Katy Perry),dance pop,2009.0,140.0,81.0,61.0,-6.0,23.0,23.0,203.0,0.0,6.0,70.0,2010.0
My First Kiss (feat. Ke$ha),dance pop,2010.0,138.0,89.0,68.0,-4.0,36.0,83.0,192.0,1.0,8.0,68.0,2010.0
I Need A Dollar,pop soul,2010.0,95.0,48.0,84.0,-7.0,9.0,96.0,243.0,20.0,3.0,72.0,2010.0
Airplanes (feat. Hayley Williams of Paramore),atl hip hop,2010.0,93.0,87.0,66.0,-4.0,4.0,38.0,180.0,11.0,12.0,80.0,2010.0
Nothin' on You (feat. Bruno Mars),atl hip hop,2010.0,104.0,85.0,69.0,-6.0,9.0,74.0,268.0,39.0,5.0,79.0,2010.0
Magic (feat. Rivers Cuomo),atl hip hop,2010.0,82.0,93.0,55.0,-4.0,35.0,79.0,196.0,1.0,34.0,71.0,2010.0
The Time (Dirty Bit),dance pop,2010.0,128.0,81.0,82.0,-8.0,60.0,44.0,308.0,7.0,7.0,75.0,2010.0
Imma Be,dance pop,2009.0,92.0,52.0,60.0,-7.0,31.0,41.0,258.0,18.0,37.0,71.0,2010.0
Talking to the Moon,dance pop,2010.0,146.0,59.0,50.0,-5.0,11.0,8.0,218.0,51.0,3.0,87.0,2010.0
Just the Way You Are,dance pop,2010.0,109.0,84.0,64.0,-5.0,6.0,42.0,221.0,1.0,4.0,86.0,2010.0
Teach Me How to Dougie,pop rap,2011.0,85.0,44.0,85.0,-5.0,9.0,51.0,237.0,20.0,14.0,71.0,2010.0
Forget You,atl hip hop,2010.0,127.0,88.0,70.0,-4.0,16.0,77.0,223.0,13.0,6.0,69.0,2010.0
Deuces (feat. Tyga & Kevin McCall),dance pop,2011.0,74.0,74.0,69.0,-5.0,8.0,22.0,277.0,3.0,11.0,74.0,2010.0
Memories (feat. Kid Cudi),big room,2009.0,130.0,87.0,56.0,-6.0,25.0,50.0,210.0,0.0,34.0,74.0,2010.0
Gettin' Over You (feat. Fergie & LMFAO),big room,2009.0,130.0,91.0,62.0,-5.0,8.0,45.0,188.0,18.0,8.0,55.0,2010.0
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",dance pop,2010.0,150.0,78.0,54.0,-4.0,16.0,28.0,233.0,1.0,19.0,55.0,2010.0
Over,canadian hip hop,2010.0,100.0,85.0,35.0,-6.0,12.0,45.0,234.0,1.0,20.0,72.0,2010.0
Find Your Love,canadian hip hop,2010.0,96.0,61.0,63.0,-6.0,3.0,76.0,209.0,2.0,17.0,70.0,2010.0
Barbra Streisand (Radio Edit),disco house,2010.0,128.0,93.0,76.0,-2.0,22.0,46.0,195.0,0.0,10.0,61.0,2010.0
Stereo Love - Radio Edit,romanian house,2010.0,127.0,78.0,80.0,-4.0,8.0,59.0,185.0,3.0,3.0,71.0,2010.0
Pack Up,lilith,2010.0,133.0,81.0,67.0,-6.0,21.0,87.0,191.0,30.0,8.0,46.0,2010.0
Starry Eyed,dance pop,2010.0,150.0,81.0,50.0,-5.0,32.0,60.0,177.0,14.0,4.0,59.0,2010.0
Love The Way You Lie,detroit hip hop,2010.0,87.0,93.0,75.0,-5.0,52.0,64.0,263.0,24.0,23.0,87.0,2010.0
Not Afraid,detroit hip hop,2010.0,115.0,95.0,86.0,-1.0,21.0,67.0,248.0,53.0,26.0,85.0,2010.0
I Like It,dance pop,2010.0,129.0,94.0,65.0,-3.0,7.0,70.0,232.0,2.0,8.0,71.0,2010.0
Kickstarts,dance pop,2010.0,126.0,84.0,61.0,-4.0,36.0,66.0,182.0,0.0,6.0,69.0,2010.0
